order_id,cancelled
130231,0
130232,1
130233,0
130234,0
130235,0
130237,0
130236,1
130238,0
130239,0
130240,0
130241,1
130242,1
130243,0
130244,0
130245,0
130246,0
130247,0
130248,1
130249,0
130250,1
130251,0
130252,0
130253,0
130254,0
130255,1
130256,0
130257,0
130258,1
130260,0
130259,0
130261,0
130262,1
130263,0
130264,0
130265,0
130266,1
130267,0
130268,0
130269,0
130270,1
130271,1
130272,0
130273,1
130274,0
130275,1
130276,0
130277,0
130278,0
130279,1
130280,0
130281,0
130282,0
130283,1
130284,0
130285,0
130286,0
130287,0
130288,1
130289,1
130290,0
130291,0
130292,0
130293,1
130294,1
130295,1
130296,0
130297,0
130298,1
130299,0
130300,1
130301,0
130302,0
130303,0
130304,1
130305,1
130306,0
130307,0
130308,0
130309,1
130310,0
130311,0
130312,0
130313,1
130314,0
130315,1
130316,1
130317,0
130318,1
130319,0
130320,1
130321,0
130322,0
130323,1
130324,1
130325,1
130326,0
130327,1
130328,0
130329,0
130330,0
130331,1
130332,0
130333,1
130334,0
130335,0
130336,0
130337,1
130338,1
130339,0
130340,1
130341,0
130342,1
130343,0
130344,0
130345,0
130346,1
130347,1
130348,0
130349,0
130350,0
130351,0
130352,0
130353,0
130354,0
130355,1
130356,1
130357,1
130358,0
130359,0
130360,1
130361,0
130362,1
130363,1
130367,1
130366,0
130364,1
130365,0
130368,1
130369,1
130370,0
130371,0
130372,0
130373,0
130374,0
130375,0
130376,0
130377,0
130378,0
130379,1
130380,0
130381,1
130382,0
130383,0
130384,0
130385,1
130386,0
130387,0
130388,1
130389,0
130390,0
130391,0
130392,0
130393,0
130394,0
130395,0
130397,0
130396,0
130398,0
130399,0
130400,0
130401,1
130402,0
130403,1
130404,0
130405,0
130406,1
130407,1
130408,0
130409,1
130410,0
130411,0
130412,1
130413,0
130414,0
130415,0
130416,1
130417,1
130418,1
130419,1
130420,0
130421,0
130422,1
130423,0
130424,0
130425,1
130426,0
130427,0
130428,0
130429,0
130430,0
130431,1
130432,0
130433,1
130434,1
130435,1
130436,0
130437,1
130438,0
130439,0
130440,0
130441,1
130442,0
130443,1
130444,1
130445,0
130446,1
130447,0
130448,0
130449,0
130451,1
130450,1
130452,0
130453,0
130454,1
130455,1
130456,0
130457,1
130458,0
130459,1
130460,1
130461,1
130462,0
130463,0
130464,1
130465,0
130466,0
130467,0
130468,0
130469,0
130470,0
130472,0
130471,0
130473,1
130474,0
130475,1
130476,0
130477,0
130478,0
130479,1
130480,0
